Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000448,"BELT V;BELT,TRANSMISSION,8V,4000,8V,1IN",641,TF to stck in trans.,6/1/2023,,-2,EA,-2,EA,0,PEN,4908778902,35,,0,0,80109635,5/27/2023,Q009,MPOLAR,4502731567,220,C601,6/1/2023,,,
AE00000448,"BELT V;BELT,TRANSMISSION,8V,4000,8V,1IN",641,TF to stck in trans.,6/1/2023,,2,EA,2,EA,0,PEN,4908778902,36,,0,0,80109635,5/27/2023,,MPOLAR,4502731567,220,C601,6/1/2023,,,
AE00000909,"ELECTRD WELDG;SUPERCITO,E7018,3/32IN",641,TF to stck in trans.,6/1/2023,,18,BOX,18,BOX,0,PEN,4908776432,14,,0,0,80110174,6/1/2023,,BTP_TM_PROD,4502738608,90,C601,6/1/2023,,,
AE00000909,"ELECTRD WELDG;SUPERCITO,E7018,3/32IN",641,TF to stck in trans.,6/1/2023,,-18,BOX,-18,BOX,0,PEN,4908776432,13,,0,0,80110174,6/1/2023,Q010,BTP_TM_PROD,4502738608,90,C601,6/1/2023,,,
AE00000910,"ELECTRD WELDG;SUPERCITO,E7018,1/8IN,A5.1",641,TF to stck in trans.,6/1/2023,,-11,BOX,-11,BOX,0,PEN,4908776432,15,,0,0,80110174,6/1/2023,Q010,BTP_TM_PROD,4502738608,100,C601,6/1/2023,,,
AE00000910,"ELECTRD WELDG;SUPERCITO,E7018,1/8IN,A5.1",641,TF to stck in trans.,6/1/2023,,11,BOX,11,BOX,0,PEN,4908776432,16,,0,0,80110174,6/1/2023,,BTP_TM_PROD,4502738608,100,C601,6/1/2023,,,
AE00002707,"VLV CHECK;API-594-24IN-CL600-SS,ARFLU SA",101,GR stock in transit,6/1/2023,,1,EA,1,EA,0,PEN,5005060302,1,EG07-00000268,0,0,80109634,6/1/2023,Q001,CVELASQUEZ,4502731567,90,C601,6/1/2023,,,
AE00003262,"LOCK;498A-S14,MASTER LOCK COMPANY",641,TF to stck in trans.,6/1/2023,,50,EA,50,EA,0,PEN,4908778902,18,,0,0,80109635,5/27/2023,,MPOLAR,4502731567,110,C601,6/1/2023,,,
AE00003262,"LOCK;498A-S14,MASTER LOCK COMPANY",641,TF to stck in trans.,6/1/2023,,-50,EA,-50,EA,0,PEN,4908778902,17,,0,0,80109635,5/27/2023,Q009,MPOLAR,4502731567,110,C601,6/1/2023,,,
AE00003348,"FTNG;153051,FESTO;QSL,1/4-10",101,GR stock in transit,6/1/2023,,12,EA,12,EA,0,PEN,5005060305,1,T001-00002399,0,0,80109636,6/1/2023,Q001,CVELASQUEZ,4502731568,10,C601,6/1/2023,,,
