Material,Material Description,Movement Type,Movement Type Text,Posting Date,Special Stock,Quantity,Base Unit of Measure,Qty in unit of entry,Unit of Entry,Amt.in Loc.Cur.,Currency,Material Document,Material Doc.Item,Document Header Text,Reservation,Item number of reservation,Reference,Document Date,Storage Location,User Name,Purchase order,Item,Plant,Entry Date,Order,Cost Center,WBS Element
AE00000517,"BOLT,MACHINE;1000008554,FLSMIDTH,HEX",101,GR goods receipt,9/1/2024,,8,EA,8,EA,124.2,PEN,5006514907,1,,0,0,T004-00004314,8/31/2024,Q009,RALEGRIA,4503344571,20,C601,8/31/2024,,,
AE00000893,"ELECTRD WELDG;INOX-29/9-5/32IN,OERLIKON",261,GI for order,9/1/2024,,-1,BOX,-1,BOX,-911.96,PEN,4911182268,8,NORDITH D,14833631,8,WH,8/31/2024,Q001,LARIAS,,0,C601,8/31/2024,4010231051,,
AE00001051,"HOSE ASSEMBLY;1000174871,FLSMIDTH,ABB",101,GR goods receipt,9/1/2024,,1,EA,1,EA,4977.23,PEN,5006514992,1,,0,0,T004-00004125,8/31/2024,Q009,RALEGRIA,4503273369,30,C601,8/31/2024,,,
AE00001900,"WASHER,LOCK;1000004202,FLSMIDTH,SPRING",101,GR goods receipt,9/1/2024,,36,EA,36,EA,1155.6,PEN,5006514981,1,,0,0,T004-00004128,8/31/2024,Q009,RALEGRIA,4503324520,10,C601,8/31/2024,,,
AE00003424,"ROD;AR-A 0.630,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,8,EA,8,EA,0,PEN,5006515062,3,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,30,C601,9/1/2024,,,
AE00003456,"WASHER;J1080,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,42,EA,42,EA,0,PEN,5006515062,1,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,10,C601,9/1/2024,,,
AE00003463,"ROD;J7428,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,16,EA,16,EA,0,PEN,5006515062,2,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,20,C601,9/1/2024,,,
AE00003478,"BOLT;J8916,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,29,EA,29,EA,0,PEN,5006515062,4,BOX-995,0,0,80260616,9/1/2024,Q001,AQUISURUCO,4503407032,40,C601,9/1/2024,,,
AE00003485,"INSLTR;L506,MACLEAN POWER SYSTEM",101,GR goods receipt,9/1/2024,,23,EA,23,EA,1086.75,PEN,5006514988,1,,0,0,EG07-00001598,8/31/2024,Q009,RALEGRIA,4503307592,150,C601,8/31/2024,,,
AE00003502,"TAPE;ANTI-SLIP REFLECTIVE,2INX5M,PVC,3M",101,GR stock in transit,9/1/2024,,8,EA,8,EA,0,PEN,5006510618,1,t315-041953,0,0,80258646,8/29/2024,Q001,AQUISURUCO,4503401500,10,C601,8/29/2024,,,
AE00003516,"BOLT;J8920,MACLEAN POWER SYSTEM",101,GR stock in transit,9/1/2024,,21,EA,21,EA,0,PEN,5006515256,4,BOX-995,0,0,80260620,9/1/2024,Q001,AQUISURUCO,4503407117,40,C601,9/1/2024,,,
AE00003538,"ROPE;242152,FIXSER",261,GI for order,9/1/2024,,-5,EA,-5,EA,-217.2,PEN,4911179542,3,JASER VALENCIA,17061902,3,DELIVERY,8/30/2024,Q001,DCHINGA,,0,C601,8/30/2024,4011657226,,
AE00003562,"LUBRICANT;11303,WD-40",261,GI for order,9/1/2024,,-10,EA,-10,EA,-240.2,PEN,4911182268,9,NORDITH D,14833631,10,WH,8/31/2024,Q001,LARIAS,,0,C601,8/31/2024,4010231051,,
